motivo_rejeicao,nome_original_csv,nome_limpo,spacy_pessoa,spacy_entidades,estado,data_publicacao,tipo_ato,cargo,orgao,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
inicio_suspeito;termo_administrativo,VINCULADO À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO,VINCULADO À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO,indisponivel,,RJ,2024-12-23,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSR1FrMUVhekpSYTFGMFVsVk9SMDVETURCUmEwMHpURlZKZVU5RlZYUk9hbEpHVVZWVk1rNUVSa2RPYTBVd1RWUmpNMDU2VlhoUFJGbDZUMEU5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,38
tem_numero;termo_administrativo,BEM COMO QUAISQUER NOMEAÇÕES E EXO￾NERAÇÕES CONFORME O DISPOSTO NO ARTIGO 5º DO,BEM COMO QUAISQUER NOMEAÇÕES E EXO￾NERAÇÕES CONFORME O DISPOSTO NO ARTIGO 5º DO,indisponivel,,RJ,2024-12-20,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSTmVWRnFWa0pOYWsxMFRXcGplRkY1TURCTmFrRjRURlJuZUUxcVkzUlJhbU40VFdwV1FrMTZUa2RSVlU1SFRWUmpNMDU2VlhoUFJGa3dUWGM5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-20.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,63
inicio_suspeito;frase_administrativa;termo_administrativo,OS CANDIDATOS ABAIXO RELACIONADOS,OS CANDIDATOS ABAIXO RELACIONADOS,indisponivel,,RJ,2024-12-10,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwbmQwNXJWa0pOVlVsMFVWUk5NMDE1TURCT1JFVTBURlZHUkZGVldYUlJWRnBIVFd0T1IwMXFXWGROZWxWNFRWUmpNMDU2VlhoUFJGazBUWGM5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,183
termo_administrativo,ENTIDADE VINCULADA À,ENTIDADE VINCULADA À,indisponivel,,RJ,2024-12-10,nomeacao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwbmQwNXJWa0pOVlVsMFVWUk5NMDE1TURCT1JFVTBURlZHUkZGVldYUlJWRnBIVFd0T1IwMXFXWGROZWxWNFRWUmpNMDU2VlhoUFJGazBUWGM5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,226
inicio_suspeito;termo_administrativo,POR NÃO CONTAR COM ESTES PROFISSIONAIS NA UNIDADE PRISIONAL,POR NÃO CONTAR COM ESTES PROFISSIONAIS NA UNIDADE PRISIONAL,indisponivel,,RJ,2024-11-22,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWRk1FMUVUa1JPYTFsMFRrVkdRMDU1TURCU2Ewa3hURlJyZWsxcVZYUlNWRmt3VWxSSmVVMXFRVEZTYWxVd1RWUmpNMDU2VlhoUFJHTjZUbWM5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-22.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,623
menos_de_2_tokens;tem_numero,SEI-210001/090177/2024. ID: 2608401,SEI-210001/090177/2024,indisponivel,,RJ,2024-11-14,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSbk5FMHdVWGhQVlZWMFVXcEtRMDE1TURCU1JGcEhURlJvUWxGNlZYUk9lbHBDVFhwWk5WRXdUWHBTYTBaRVRWUmpNMDU2VlhoUFJHTXdUbWM5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,674
inicio_suspeito,OS NOMES DOS AVALIADORES,OS NOMES DOS AVALIADORES,indisponivel,,RJ,2024-11-13,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSYVFsSlViRU5SVkdkMFRsUkNSVTVETURCUmVrVjZURlZGZVU5RVZYUk5WR3hFVG10T1JsRjZXVE5OZWtreFRWUmpNMDU2VlhoUFJHTXhUWGM5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,715
inicio_suspeito;termo_administrativo,CONFORME PRECEITUA O,CONFORME PRECEITUA O,indisponivel,,RJ,2024-11-11,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwRk5WSnFTVFZQUkZWMFRWUlplRkpwTURCTmVrRjVURlZLUlZGNlRYUlJWVlV4VGpCSmVsRlVVa1pOZW1zd1RWUmpNMDU2VlhoUFJHTXlUV2M5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,836
tem_numero;termo_administrativo,AUDITOR FISCAL DA RECEITA ESTA￾DUAL DE 1ª CATEGORIA,AUDITOR FISCAL DA RECEITA ESTA￾DUAL DE 1ª CATEGORIA,indisponivel,,RJ,2024-11-07,nomeacao,,da Subsecretaria de Es￾tado de Receita,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFST1FsRnFVVE5PVkd0MFRWUmFSazlETURCU1ZHc3pURlZHUWxKRlNYUlJWVkpFVDBWV1IxSlZTa2RPVkVrMVRWUmpNMDU2VlhoUFJHTXpUVkU5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,873
termo_administrativo,ENTIDADE VINCULADA À,ENTIDADE VINCULADA À,indisponivel,,RJ,2024-11-06,nomeacao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSWk5VMHdXa1JTUkdkMFVWVlJOVkY1TURCTlZWSkRURlZGTWxGVWEzUk5SRTB3VVdwWk0wMXJVa1ZOVkdkNlRWUmpNMDU2VlhoUFJHTXpUbWM5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,974
