nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,cargo,orgao,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
(UM) SERV,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-04,2024,nomeacao,(UM) SERV,(UM) SERVIDOR PARA,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wbk1WSlZTa1pSVkZGMFRWUnNRMDFETURCU2EwWkRURlZKZUU5VVozUk5WRlV6VVZWRk0xSkZUa1ZQUlVVd1RWUmpNMDU2VlhoUFJHTTBUbWM5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-04.md,saida\RJ\DOERJ_2024.csv,1124,,,,,,nao,,,,,,,,,
(UM) SERV,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-23,2026,nomeacao,(UM) SERV,(UM) SERVIDOR PARA,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wQ1IwNTZSVE5SYTFsMFRWUkJNazVwTURCT01Fa3dURlJzUmxKVlVYUlBWR1JEVFdwc1IwNHdXWGROZWtFeFRWUmpNMDU2VlhkUFJHdDZUWGM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-23.md,saida\RJ\DOERJ_2026.csv,1584,nomeacao,2024-11-04,,,504,nao,,,,,,,,,
ABEL ASSIS CABRAL DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-10,2025,exoneracao,ABEL ASSIS CABRAL DA SILVA,ABEL ASSIS CABRAL DA SILVA,do cargo em comissão de Assessor Especial,da Superintendência de Desportos do Estado do Rio de Janeiro - SUDERJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSUmVVOVZXWGhQUlZGMFVWVkpORkZUTURCUmFteENURlJvUkU5VVVYUk9NRkpGVW1wVmVGRXdWVEpQUlVwRlRWUmpNMDU2VlhoTmVtdDNUVkU5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-10.md,saida\RJ\DOERJ_2025.csv,2042,,,,,,nao,,,,,,,,,
ABEL MAGNAGO MATA RIBEIRO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-10,2025,exoneracao,ABEL MAGNAGO MATA RIBEIRO,ABEL MAGNAGO MATA RIBEIRO,do cargo em comissão de Secretário,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtWWk0wOVZUVEZQUkZGMFRUQk5lRkpUTURCTlZHTXpURlJvUkU1VlRYUk5WRUV4VFdwQmVrNVVTWHBQUkVKSFRWUmpNMDU2VlhoT2FtZDNUbEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-10.md,saida\RJ\DOERJ_2025.csv,7723,,,,,,nao,,,,,,,,,
ABIGAIL RIBEIRO GOMES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-09,2026,nomeacao,ABIGAIL RIBEIRO GOMES,ABIGAIL RIBEIRO GOMES,,da Fundação de Apoio À Escola Técnica do Estado do Rio de Janeiro - FAETEC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk5GRnFiRVJSVlZGMFVrVkplRTFUTURCUmFrWkRURlJvUkU1RldYUlBSR3N4VG1wc1JVMXJTa1pQVkZKR1RWUmpNMDU2VlhoTlJFRXpUa0U5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-09.md,saida\RJ\DOERJ_2026.csv,2316,,,,,,nao,,,,,,,,,
ACACIO BARBOSA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-04-27,2026,exoneracao,ACACIO BARBOSA SILVA,ACACIO BARBOSA SILVA,do cargo em comissão de Chefe de Serviço,da Superintendência Regional de Dois Rios,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSQ1IwMXJXVEZSVkZsMFRqQlpNRkY1TURCT01GVjRURlZKZDAxRVNYUlBSVVYzVDFSRk0wOVViRUpTUkZreFRWUmpNMDU2VlhkT2FtTXdUWGM5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-27.md,saida\RJ\DOERJ_2026.csv,286,,,,,,nao,,,,,,,,,
ACAUA DE SOUZA LOPES FAGUNDES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-02-19,2025,nomeacao,ACAUÃ DE SOUZA LOPES FAGUNDES,ACAUÃ DE SOUZA LOPES FAGUNDES,,da Autarquia de Proteção e Defesa do Consumidor do Estado do Rio de Janeiro - PROCON-RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCRk1VMUVaM2xTUkZWMFVsUktRMUpwTURCT2EwVXhURlJyTVZKcVozUlBSVVY1VFVSQ1JGSkVTVEZQUlUwd1RWUmpNMDU2VlhoT2FtczBUVUU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-19.md,saida\RJ\DOERJ_2025.csv,8090,,,,,,nao,,,,,,,,,
ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-10-25,2024,exoneracao,ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,do cargo em comissão de Gerente de Área,da Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro - FAETEC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSUk0xRXdVa1pPZWtWMFVYcEtSMDlUTURCTk1FVTBURlJuTTFKcVkzUk9WVVpDVGpCUmQxRnJUa0pQUkdkNVRWUmpNMDU2VlhoUFJHZDRUWGM5UFE9PQ==,LAKE\RJ\2024\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-10-25.md,saida\RJ\DOERJ_2024.csv,1302,,,,,,nao,,,,,,,,,
ACHILLES SOARES MARTINS,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-05,2024,nomeacao,ACHILLES SOARES MARTINS,ACHILLES SOARES MARTINS,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwck1FMUVWWGxOUlVWMFVWUkJOVTFETURCTlJWSkVURlJuZVU1clJYUlBWRVUwVVhwSk0xRnFaRVZOUlUxNFRWUmpNMDU2VlhoUFJHTTBUV2M5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-05.md,saida\RJ\DOERJ_2024.csv,1006,,,,,,nao,,,,,,,,,
ADAH ROSA DA CONCEICAO PEREIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-12-23,2024,nomeacao,ADAH ROSA DA CONCEIÇÃO PEREIRA,ADAH ROSA DA CONCEIÇÃO PEREIRA,para exercer o cargo comissionado de Chefe da Seção de Banco de Alimentos da Unidade do Paty do Alferes,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSR1FrMUVhekpSYTFGMFVsVk9SMDVETURCUmEwMHpURlZKZVU5RlZYUk9hbEpHVVZWVk1rNUVSa2RPYTBVd1RWUmpNMDU2VlhoUFJGbDZUMEU5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-23.md,saida\RJ\DOERJ_2024.csv,39,,,,,,nao,,,,,,,,,
